TF,target,importance
RPL6,RPL37,51.74719431
RPS4X,RPS4Y1,51.7327181
RPS10,RPL13A,51.72046359
IRF7,PPP1R14B,51.62400077
RPL6,FAU,51.4934325
TBX21,ADGRG1,51.41087586
ODC1,GMPR,51.3580383
TCF7L2,MS4A7,51.30013901
ODC1,PF4,51.27389103
RPL6,RPS3A,51.25937924
RPL35,RPL22,51.1746237
IRF7,CCDC50,51.13014567
SPIB,IGHM,51.12745479
TBX21,APOBEC3G,51.1074434
IRF8,PLD4,51.07334417
RPL6,EEF1B2,51.05535094
RPS10,RPLP2,51.03348253
FOS,FOSB,50.95952053
RPS10,RPS2,50.84126867
RPL6,RPS12,50.83236194
TCF7,CD3E,50.77942123
RPL6,RPS3,50.6827288
RPL6,RPL21,50.65764737
KLRG1,TRGC2,50.6530161
TCF4,APP,50.61789637
RPS10,RPL34,50.5741435
TCF7L2,FCGR3A,50.44483738
RPL35,RPL15,50.35195174
RPS10,RPS29,50.32189939
TCF4,GZMB,50.30961197
YBX1,HLA-DPA1,50.17530531
RPL6,RPL7,50.12944621
XBP1,SEC11C,50.08231302
ODC1,TUBB1,50.0513723
SPIB,TNFRSF13C,50.01442245
RPL6,RPS11,49.97931542
RPL35,RPL14,49.91961357
CEBPD,DUSP1,49.91694051
YBX1,MT-CO1,49.90082401
TCF4,SERPINF1,49.89875095
HES4,RHOC,49.64687991
ODC1,TNFSF4,49.60998858
KLRG1,GZMK,49.52853741
PKM,S100A9,49.40674747
FOS,MEGF9,49.26354923
RPS4X,UBA52,49.23136602
ODC1,TUBA4A,49.22612322
RPL35,RPS29,49.2073536
RPL6,RPL12,49.14917369
RPL6,RPL7A,49.05828946
TCF7,RPS3,48.98269785
RPL6,RPL14,48.94879981
RPS10,RPL35,48.93288631
RPL6,RPS16,48.91997914
RPL35,RPL30,48.89220935
CUX2,GZMB,48.86084064
RPL6,RPS27A,48.79959677
RPL35,RPS20,48.54003111
RPS10,RPL8,48.506329
RPL6,RPL10A,48.42512429
SPI1,ARPC3,48.30061477
TCF7L2,LST1,48.21736515
MEIS1,TUBB1,48.14749328
RPL6,EEF2,48.12597333
RPL35,RPS8,48.04579769
XBP1,SUB1,47.98791689
RPL6,RPL23A,47.96075892
RPL6,RPS10,47.70731452
YBX1,CFL1,47.61790923
RPS4X,RPL26,47.5327981
RPS4X,MALAT1,47.52931731
IRF7,C12orf75,47.40234225
BCL11A,TCF4,47.40104363
XBP1,IGKC,47.1991914
RPS10,RPL38,47.03654113
RPS10,RPS7,46.97337999
RPL35,RPS16,46.87276139
SPI1,MT-CO1,46.82648297
RPS10,RPL36,46.81272008
RPL35,RPL24,46.79905246
SPI1,YBX1,46.74812133
RORA,IL7R,46.71167518
TCF4,ITM2C,46.6997955
CEBPD,FOS,46.60230804
IRF8,LILRA4,46.50385686
RPL6,RPS14,46.49306941
ODC1,CLEC1B,46.46070445
KLRG1,EOMES,46.44031486
YBX1,MT-ATP6,46.23878023
SPIB,CYB561A3,46.14476024
IRF7,IL3RA,46.13451776
LMO2,FOS,45.99005218
YBX1,MT-CO2,45.98261902
RPS4X,RPL7,45.9170221
XBP1,HSP90B1,45.8988003
TBX21,GNLY,45.87745987
RPL35,RPL5,45.85590565
TBX21,FGFBP2,45.85458019
CEBPD,SRGN,45.79653908
TCF7,IL7R,45.78612187
KLRG1,A2M-AS1,45.73707383
TBX21,CD7,45.70252549
HSPA5,MZB1,45.69877464
RPL6,RPL27A,45.68519447
FOS,SRGN,45.63760009
RPL6,RPL41,45.57458818
RPL6,RPLP0,45.52337582
RPL35,RPS15A,45.51063347
SPI1,FCER1G,45.4564526
RPL35,RPL27,45.43922697
HSPA5,SEC11C,45.34874615
TCF4,SPIB,45.30183652
RPL6,RPL38,45.16203038
XBP1,DERL3,45.08102706
RPL35,RPL27A,45.00030292
RPS10,RPS9,44.86606477
IRF7,IRF8,44.8226334
